,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2018-12-07,3587.4721002144456,13585.304101994632,6.435700998329941,9.654619725528828,694.3070125196706,208.80681085098917,12.007653032040448,64.61170888127974,1887.8706607122656
2018-12-08,3580.626709406489,13671.018509060515,6.462914411662705,9.398873640986062,698.9611133010898,205.4299327484063,11.587489580888032,65.55845551954742,1879.4723034797487
2018-12-09,3573.7813185985324,13756.732916126399,6.49012782499547,9.143127556443295,703.615214082509,202.0530546458234,11.167326129735619,66.5052021578151,1871.073946247232
2018-12-10,3566.9359277905755,13842.447323192282,6.517341238328235,8.887381471900527,708.2693148639282,198.67617654324053,10.747162678583203,67.45194879608279,1862.6755890147153
2018-12-11,3560.090536982619,13928.161730258167,6.544554651661,8.63163538735776,712.9234156453475,195.29929844065765,10.32699922743079,68.39869543435047,1854.2772317821987
2018-12-12,3553.2451461746623,14013.87613732405,6.571768064993765,8.375889302814993,717.5775164267668,191.92242033807474,9.906835776278374,69.34544207261816,1845.8788745496818
2018-12-13,3546.3997553667054,14099.590544389934,6.598981478326529,8.120143218272226,722.231617208186,188.54554223549187,9.48667232512596,70.29218871088584,1837.480517317165
2018-12-14,3539.5543645587486,14185.304951455817,6.626194891659294,7.864397133729458,726.8857179896053,185.168664132909,9.066508873973547,71.23893534915352,1829.0821600846484
2018-12-15,3532.708973750792,14271.0193585217,6.653408304992059,7.608651049186691,731.5398187710246,181.7917860303261,8.646345422821131,72.1856819874212,1820.6838028521317
2018-12-16,3525.8635829428354,14356.733765587584,6.680621718324823,7.352904964643924,736.1939195524437,178.41490792774323,8.226181971668716,73.13242862568889,1812.2854456196148
2018-12-17,3519.0181921348785,14442.448172653467,6.707835131657588,7.097158880101157,740.848020333863,175.03802982516035,7.806018520516302,74.07917526395657,1803.8870883870982
2018-12-18,3512.172801326922,14528.162579719352,6.735048544990353,6.84141279555839,745.5021211152822,171.66115172257747,7.385855069363888,75.02592190222427,1795.4887311545815
2018-12-19,3505.3274105189653,14613.876986785235,6.762261958323117,6.585666711015623,750.1562218967015,168.2842736199946,6.965691618211474,75.97266854049195,1787.0903739220646
2018-12-20,3498.4820197110084,14699.591393851118,6.789475371655882,6.329920626472855,754.8103226781207,164.90739551741171,6.545528167059059,76.91941517875964,1778.692016689548
